city,slug,country,osm_strict,gt_count,delta,confidence,adminclip_land_km2,adminclip_density,disc_water_km2,fair_land_km2,fair_density,step7_excluded,note
Brighton and Hove,brighton_and_hove,UK,37,43,+6,high,10.90,3.94,6.24,10.91,3.94,no,+6 Hove Beach Park (Kingsway) — BHCC park not wrapped in an OSM leisure=park polygon; BHPLTA-confirmed venue-by-venue
Paris,paris,FR,27,43,+16,medium,9.60,4.48,0.38,16.77,2.56,no,+16 Centre sportif Léo Lagrange (Bois de Vincennes) — leisure=sports_centre but publicly bookable via tennis.paris.fr; audit flags ~6-10 further known courts in Vincennes/Saint-Mandé inside the disc (fair-rule sensitivity ~2.9-3.2)
Tokyo (23 wards),tokyo_23_wards,JP,18,70,+52,medium,,4.08,0.01,17.14,4.08,yes,bbox scope spans Tokyo + Saitama (Wako/Asaka/Niiza); ~40-45 of the ~70 audited courts are in Saitama. Tokyo-only recount ~25-30 courts: ~3.0-3.6 on Tokyo-side land (admin-clip style) or ~1.5-1.8 on the fair disc denominator
New York City,new_york_city,US,46,51,+5,medium-high,13.61,3.75,3.55,13.60,3.75,no,+5 Sportime indoor courts at Randalls Island (leisure=sports_centre on NYC Parks land; publicly bookable — same operator model as Prospect Park Tennis Center). Audit found no removals: all strict courts are NYC Parks public-permit or pay-and-play. Harlem/East River water synthesised from waterway centerlines (3.55 km²)
Boston,boston,US,18,18,0,medium,5.01,3.59,0.47,16.68,1.08,no,no corrections — Charles River Reservation (Daly Field) DCR courts verified public. Admin-clip removes 12.14 km² of which only ~0.27 is water within the Boston clip; whole-disc water is 0.47
Chicago,chicago,US,35,43,+8,medium,13.16,3.27,4.03,13.12,3.28,no,+8 Washington Park Refectory cluster west of the MLK-Drive-trimmed park polygon; audit warns Washington Park's 17 OSM pitches may double-count a real ~10-court facility (range 36-43). Lake Michigan (relation 1205149) water 4.03 km²
Melbourne,melbourne,AU,26,50,+24,medium,16.31,3.07,0.84,16.31,3.07,no,+16 Melbourne Park Pay-&-Play + 8 National Tennis Centre outdoor courts (sports_centre; bookable via Tennis Australia)
Greater London,greater_london,UK,44,44,0,medium-high,15.23,2.89,1.92,15.23,2.89,no,no corrections — all 8 venues Will To Win / Lambeth Parks Tennis / Southwark public (range 42-47)
Auckland,auckland,NZ,40,40,0,medium,17.15,2.33,0.00,17.15,2.33,no,no corrections (audit range 34-42; Cornwall Park ±6)
Brussels,brussels,BE,13,27,+14,medium-low,15.33,1.76,0.36,16.79,1.61,no,+11 ADEPS Forêt de Soignes + 3 Parc des Trois Tilleuls — municipal sports_centres publicly bookable
Sydney,sydney,AU,27,27,0,medium-low,16.88,1.60,0.27,16.88,1.60,no,no corrections — all council-tagged (7 unparked pitches held out as low-confidence upside; range 27-37)
San Francisco,san_francisco,US,20,27,+7,medium-high,17.09,1.58,0.06,17.09,1.58,no,+9 gross SFRPD false-exclusions (McCoppin Square +1 Parkside +4 Balboa +4) − 2 Terrace Green Park (St. Francis Wood HOA private) = +7 net
Toronto,toronto,CA,32,19,-13,medium,17.10,1.11,0.05,17.10,1.11,no,−13 community tennis clubs on park land requiring club membership (Wishing Well Graydon Hall Broadlands Bridlewood); audit steel-man: re-including them under Brighton's Kingsway standard gives 22-25
Buenos Aires,buenos_aires,AR,13,6,-7,low-medium,11.04,0.54,0.01,17.14,0.35,no,−7 Club Comunicaciones members-only concession inside Parque Sarmiento (audit range 5-8; done without live web access)
Los Angeles,los_angeles,US,35,8,-27,high,17.01,0.47,0.00,17.15,0.47,no,−27 Santa Monica Mountains NRA federal overlay catches Mountaingate CC Brentwood CC Brentwood School and private home courts (confidence high on direction; medium on exact count 6-10)
Rome,rome,IT,26,2,-24,medium-high,17.14,0.12,0.02,17.13,0.12,no,−24 FIT-affiliated circoli leasing land inside the Valle dei Casali nature reserve (audit range 0-4; the strict 26 was not exactly reproducible from the cache — re-runs give 3-30 depending on tag set)
